Year,Industry,Color,Popularity
2020,Fashion,Blue,70
2020,Fashion,Black,80
2020,Fashion,Beige,60
2020,Fashion,Pink,65
2020,Fashion,Brown,68
2021,Fashion,Blue,71
2021,Fashion,Black,81
2021,Fashion,Beige,61
2021,Fashion,Pink,67
2021,Fashion,Brown,71
2022,Fashion,Blue,72
2022,Fashion,Black,82
2022,Fashion,Beige,62
2022,Fashion,Pink,69
2022,Fashion,Brown,74
2023,Fashion,Blue,73
2023,Fashion,Black,83
2023,Fashion,Beige,63
2023,Fashion,Pink,71
2023,Fashion,Brown,77
2024,Fashion,Blue,74
2024,Fashion,Black,84
2024,Fashion,Beige,64
2024,Fashion,Pink,73
2024,Fashion,Brown,80
2025,Fashion,Blue,75
2025,Fashion,Black,85
2025,Fashion,Beige,65
2025,Fashion,Pink,75
2025,Fashion,Brown,83
